step,type,amount,oldbalanceOrg,newbalanceOrig,oldbalanceDest,newbalanceDest
20,CASH_OUT,472358.0,0.0,0.0,2265394.14,2737752.13
131,CASH_OUT,273009.64,0.0,0.0,5520903.83,5793913.47
156,PAYMENT,40020.97,36394.0,0.0,0.0,0.0
180,PAYMENT,9611.74,22.0,0.0,0.0,0.0
45,CASH_OUT,96324.83,7032.0,0.0,3672174.14,3768498.97
254,CASH_OUT,224488.37,0.0,0.0,2116915.95,2341404.32
275,CASH_OUT,100274.57,0.0,0.0,138501.16,238775.72
38,CASH_OUT,690639.2,5663.0,0.0,22765.1,713404.3
34,CASH_OUT,27951.26,27951.26,0.0,10439.0,698752.71
353,TRANSFER,275082.0,275082.0,0.0,0.0,0.0
400,CASH_OUT,4598089.88,4598089.88,0.0,771511.79,5369601.67
332,PAYMENT,4162.9,4604.0,441.1,0.0,0.0
165,CASH_OUT,37833.88,65557.0,27723.12,276696.54,314530.42
207,PAYMENT,6611.77,56854.0,50242.23,0.0,0.0
350,CASH_IN,287277.01,336725.73,624002.75,393867.91,106590.89
249,TRANSFER,271229.8,271229.8,0.0,0.0,0.0
353,PAYMENT,20246.19,80648.0,60401.81,0.0,0.0
355,CASH_OUT,234075.07,3515.0,0.0,500231.58,734306.65
310,CASH_OUT,1868438.44,1868438.44,0.0,0.0,1868438.44
399,PAYMENT,24525.77,0.0,0.0,0.0,0.0
208,PAYMENT,621.63,0.0,0.0,0.0,0.0
350,CASH_IN,244047.83,18994.0,263041.83,2456602.42,2212554.59
306,CASH_OUT,6795.51,0.0,0.0,565581.93,572377.44
303,CASH_OUT,323031.76,91929.0,0.0,572739.24,895770.99
328,CASH_OUT,313329.23,0.0,0.0,795202.43,1108531.65
372,CASH_OUT,5464727.14,5464727.14,0.0,9012.39,5473739.54
322,CASH_OUT,426036.13,0.0,0.0,4675137.75,5101173.88
141,PAYMENT,7767.78,63158.35,55390.57,0.0,0.0
523,CASH_OUT,248799.49,248799.49,0.0,323143.23,571942.72
259,CASH_OUT,1331.85,20288.0,18956.15,0.0,1331.85
582,TRANSFER,47662.13,47662.13,0.0,0.0,0.0
378,PAYMENT,17729.1,45039.0,27309.9,0.0,0.0
34,CASH_IN,319989.13,3371248.72,3691237.85,3816151.34,3572529.98
139,TRANSFER,936763.7,0.0,0.0,2495894.97,3432658.67
38,CASH_IN,83631.68,271227.82,354859.5,1715411.34,1631779.67
464,CASH_OUT,1027963.96,1027963.96,0.0,3216668.79,4244632.75
619,CASH_OUT,108553.71,0.0,0.0,298183.25,406736.96
321,CASH_IN,301938.75,1959539.07,2261477.83,1260675.81,958737.05
159,CASH_IN,138966.92,139636.0,278602.92,0.0,0.0
361,CASH_OUT,54892.98,54892.98,0.0,0.0,54892.98
378,CASH_OUT,185434.91,25856.0,0.0,21243.0,206677.91
161,CASH_OUT,28655.83,0.0,0.0,2335466.13,2364121.96
284,CASH_OUT,739584.33,739584.33,0.0,76425.35,903164.02
329,CASH_OUT,16935.0,0.0,0.0,376267.9,393202.9
284,PAYMENT,13582.35,10771.0,0.0,0.0,0.0
277,CASH_OUT,242678.33,242678.33,0.0,812517.66,1055196.0
210,CASH_OUT,289285.57,0.0,0.0,3676562.38,3965847.95
161,CASH_OUT,214591.18,0.0,0.0,300460.23,515051.4
202,TRANSFER,13011.69,0.0,0.0,1076823.68,1089835.37
687,CASH_OUT,398157.05,398157.05,0.0,703136.65,1101293.69
37,CASH_OUT,17199.9,15038.0,0.0,712271.15,729471.06
606,CASH_OUT,3973479.44,3973479.44,0.0,2036641.34,6010120.78
373,CASH_OUT,530354.58,530354.58,0.0,4728783.51,5259138.09
187,CASH_IN,4212.57,43355.0,47567.57,797723.45,793510.87
40,TRANSFER,31930.24,31930.24,0.0,0.0,0.0
406,TRANSFER,181370.82,33957.0,0.0,4858953.76,5040324.58
262,TRANSFER,328427.77,328427.77,0.0,0.0,0.0
133,CASH_OUT,12626.0,0.0,0.0,545186.12,557812.12
130,CASH_OUT,90765.17,20592.0,0.0,0.0,90765.17
186,CASH_IN,15147.97,51262.0,66409.97,28155.08,13007.12
565,TRANSFER,696789.35,0.0,0.0,5243292.65,5940082.01
34,CASH_IN,152752.26,23686414.21,23839166.47,1775398.91,1622646.65
423,TRANSFER,146671.27,0.0,0.0,63808867.02,63955538.29
396,CASH_OUT,356964.68,17764.0,0.0,0.0,356964.68
37,CASH_OUT,320075.87,11062.0,0.0,18699.0,338774.87
