feature,shap_value,feature_value,absolute_shap
numeric__orig_balance_error,0.28603030447749445,0.0,0.28603030447749445
numeric__amount_to_orig_balance,0.23644816572006588,1.0,0.23644816572006588
numeric__newbalanceOrig,0.13805756138703487,0.0,0.13805756138703487
numeric__orig_account_emptied,0.12436616429762938,1.0,0.12436616429762938
numeric__orig_balance_change,0.054549055268861245,644314.67,0.054549055268861245
numeric__newbalanceDest,0.048543761110496485,0.0,0.048543761110496485
numeric__dest_balance_change,0.03277760321343861,0.0,0.03277760321343861
numeric__dest_balance_error,0.0191562067171167,644314.67,0.0191562067171167
numeric__step,0.012277778164740712,701.0,0.012277778164740712
numeric__oldbalanceDest,0.011715576675312962,0.0,0.011715576675312962
numeric__oldbalanceOrg,0.011594945539720812,644314.67,0.011594945539720812
numeric__amount,0.008329032323544552,644314.67,0.008329032323544552
categorical__type_TRANSFER,0.008031170587486817,1.0,0.008031170587486817
categorical__type_PAYMENT,0.004489953963057064,0.0,0.004489953963057064
categorical__type_CASH_IN,0.002226385358430347,0.0,0.002226385358430347
categorical__type_CASH_OUT,-0.0017066821779095514,0.0,0.0017066821779095514
categorical__type_DEBIT,6.741775436885312e-07,0.0,6.741775436885312e-07
