feature,mean_abs_shap
numeric__orig_balance_error,0.15841141845487594
numeric__amount_to_orig_balance,0.12434253886867319
numeric__orig_account_emptied,0.07456492888267087
numeric__newbalanceOrig,0.07205105076508289
numeric__orig_balance_change,0.055909597029965986
numeric__dest_balance_error,0.010562416223568342
numeric__newbalanceDest,0.00947260558718203
numeric__oldbalanceOrg,0.00916411976821106
numeric__amount,0.007923728367871249
numeric__dest_balance_change,0.007254951600334403
categorical__type_TRANSFER,0.005538730961373916
numeric__oldbalanceDest,0.0043505880189515424
numeric__step,0.0038276573998031064
categorical__type_PAYMENT,0.0036900293864237208
categorical__type_CASH_OUT,0.0025618219654928226
categorical__type_CASH_IN,0.0014016030493105094
categorical__type_DEBIT,4.874007408812176e-06
