model,threshold,precision,recall,f1,false_positives,false_negatives,true_positives,true_negatives
Random Forest,0.01,0.8709219858156029,0.9967532467532467,0.9295987887963664,182,4,1228,952979
Random Forest,0.02,0.9409961685823754,0.9967532467532467,0.9680725266062278,77,4,1228,953084
Random Forest,0.03,0.9684542586750788,0.9967532467532467,0.9824,40,4,1228,953121
Random Forest,0.04,0.9777070063694268,0.9967532467532467,0.9871382636655949,28,4,1228,953133
Random Forest,0.05,0.9847634322373697,0.9967532467532467,0.990722065348931,19,4,1228,953142
Random Forest,0.060000000000000005,0.9887278582930756,0.9967532467532467,0.9927243330638642,14,4,1228,953147
Random Forest,0.06999999999999999,0.9919224555735057,0.9967532467532467,0.994331983805668,10,4,1228,953151
Random Forest,0.08,0.9951377633711507,0.9967532467532467,0.9959448499594485,6,4,1228,953155
Random Forest,0.09,0.9967532467532467,0.9967532467532467,0.9967532467532467,4,4,1228,953157
Random Forest,0.09999999999999999,0.9975629569455727,0.9967532467532467,0.9971579374746244,3,4,1228,953158
Random Forest,0.11,0.9983739837398374,0.9967532467532467,0.9975629569455727,2,4,1228,953159
Random Forest,0.12,0.9983739837398374,0.9967532467532467,0.9975629569455727,2,4,1228,953159
Random Forest,0.13,0.9991863303498779,0.9967532467532467,0.9979683055668428,1,4,1228,953160
Random Forest,0.14,0.9991863303498779,0.9967532467532467,0.9979683055668428,1,4,1228,953160
Random Forest,0.15000000000000002,0.9991863303498779,0.9967532467532467,0.9979683055668428,1,4,1228,953160
Random Forest,0.16,0.9991863303498779,0.9967532467532467,0.9979683055668428,1,4,1228,953160
Random Forest,0.17,0.9991863303498779,0.9967532467532467,0.9979683055668428,1,4,1228,953160
Random Forest,0.18000000000000002,0.9991863303498779,0.9967532467532467,0.9979683055668428,1,4,1228,953160
Random Forest,0.19,0.9991863303498779,0.9967532467532467,0.9979683055668428,1,4,1228,953160
Random Forest,0.2,0.9991863303498779,0.9967532467532467,0.9979683055668428,1,4,1228,953160
Random Forest,0.21000000000000002,0.9991863303498779,0.9967532467532467,0.9979683055668428,1,4,1228,953160
Random Forest,0.22,0.9991863303498779,0.9967532467532467,0.9979683055668428,1,4,1228,953160
Random Forest,0.23,0.9991863303498779,0.9967532467532467,0.9979683055668428,1,4,1228,953160
